questions,answers,clean_question,clean_answer
asking about the control measure of aphid in cabbage,suggested him to spray malathion @2ml/lit of water,What is the control measure of aphid in cabbage?,You can spray malathion @2ml/lit of water
query regarding layer farm,ask to inform in local govt dispensary or dept of poultry science khanapara ghy,What is layer farm?,Please inform in local govt dispensary or dept of poultry science khanapara ghy
asking about the fertilizer dose for chilli,"recommended to apply dried cowdung,urea 30 kg/bigha,ssp 50 kg/bigha,mop 13 kg/bigha",What is the fertilizer dose for chilli?,"You should apply dried cowdung,urea 30 kg/bigha,ssp 50 kg/bigha,mop 13 kg/bigha"
asking about the control measure for stem rot in chilli,"recommended to spray saaf,2 gram/lit water",What is the control measure for stem rot in chilli?,"You should spray saaf,2 gram/lit water"
query regarding nutrient management in gimger.,advise to apply urea:ssp:mop @ 12:30:15 kg/bigha.,What is nutrient management in gimger.?,You should apply urea:ssp:mop @ 12:30:15 kg/bigha.
asking about the fishery,fishery expert not available,What is the fishery?,Fishery expert not available
query regarding disease management in pond,advice him to apply potassium permanganete @ 3ml/litres of water,What is disease management in pond?,You should apply potassium permanganete @ 3ml/litres of water
asking about the nutrient management in cauliflower,suggested him to spray tracel @2 gm/lit of water,What is the nutrient management in cauliflower?,You can spray tracel @2 gm/lit of water
asking about control measure of little leaf,recommended to spray rogor @ 2 ml per lit of water,What is control measure of little leaf?,You should spray rogor @ 2 ml per lit of water
query regarding management of caterpillar.,advise to spray malathion 50 ec @ 2 ml/lt of water.,What is management of caterpillar.?,You should spray malathion 50 ec @ 2 ml/lt of water.
asking about the cercospora leaf spot in chillis,suggested him to spray redomil gold @ 2gm/ l of water,What is the cercospora leaf spot in chillis?,You can spray redomil gold @ 2gm/ l of water
asking for control of bacterial wilt in chilli,recommended him to drench the soil with streptomycin @ 1 gram per 10 litre of water,Asking for control of bacterial wilt in chilli?,Recommended him to drench the soil with streptomycin @ 1 gram per 10 litre of water
