questions,answers
asking about the control measure of aphid in cabbage,suggested him to spray malathion @2ml/lit of water
query regarding layer farm,ask to inform in local govt dispensary or dept of poultry science khanapara ghy
asking about the fertilizer dose for chilli,"recommended to apply dried cowdung,urea 30 kg/bigha,ssp 50 kg/bigha,mop 13 kg/bigha"
asking about the control measure for stem rot in chilli,"recommended to spray saaf,2 gram/lit water"
query regarding nutrient management in gimger.,advise to apply urea:ssp:mop @ 12:30:15 kg/bigha.
asking about the fishery,fishery expert not available
query regarding disease management in pond,advice him to apply potassium permanganete @ 3ml/litres of water
asking about the nutrient management in cauliflower,suggested him to spray tracel @2 gm/lit of water
asking about control measure of little leaf,recommended to spray rogor @ 2 ml per lit of water
query regarding management of caterpillar.,advise to spray malathion 50 ec @ 2 ml/lt of water.
asking about the cercospora leaf spot in chillis,suggested him to spray redomil gold @ 2gm/ l of water
asking for control of bacterial wilt in chilli,recommended him to drench the soil with streptomycin @ 1 gram per 10 litre of water
asking about the control measure aphids on citrus,suggested him to spray malathion @2ml/lit of water
asking about variety of boro rice,recommend to used variety kanaklata or jaymati
asking about control measure of bacterial wilt,recommended to spray agrimycine @ 1 g per 10 lit of water
asking about the curling of leaf in chillis,suggested him to spray rogor @ 2ml / l of water
asking about the earthworms in banana,suggested him to apply furadon 3g @ 40 gm / plant by ring method around the tree
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water twice after 4 days interval
query regarding pig farming,swine fever vaccine at 3 month of age iron supplement with diet to prevent piglet anaemia
query regarding piglet,iron dextrum injection can be given to the piglet
query regarding production of lemon,recommended to take the sample to the nearest kvk situated at lahoal
asking about the control measure of powdery mildew in papaya,suggested him to spray contaf @1ml/lit of water
query regarding liming in pond,advice him to apply lime @ 5kg/bighas of water spread area
query regarding sowing time of pea.,advise that sowing time is october-november.
asking about the veterinary queries,veterinary expert is not available
asking about mineral suppkliment for poultry.,suggested to administer agrimin fort by mixing with feed twice daily.
asking about the cultivation procedure of termaric,advised him in details cultivation method of termaric
asking about the soil treatment for bhut jalakia,suggested him to treated the soil with formalin @40 ml/lit of water and covered the land with polythene
query regarding broiler infection,tetracyclin powder 4 gm/ lits of water
asking about the control measure of powdery mildew in tea,suggested him to spray contaf @1ml/lit of water
asking about rotting in tender leaves,recommended to spray saaf or bavistin @ 2gm/l water at 3 days interval
asking about the control measure of termite in coconut,suggested him to spray malathion @2ml/lit of water
asking about ymv problem in papaya,suggested to spray rogor @ 2ml per litre of water
asking for use of growth promoter,recommended him to spray tracel-2 @ 2 gram per litre of water
asking about the wilting in chiilis,suggested him to spray streptocycline @ 1gm /  10l of water
asking about the ridge gourd fertilizer,"suggested him to apply 6 kg urea ,25 kg ssp,7 kg mop / bigha 
seed rate -1kg / bigha
spacing-row to row *plant to plant 
       1.5m-2.5m*60 cm-1.2m"
asking about the government scheme,suggested him to contact agericulture office
asking about the government scheme,suggested him to contact to agriculture office
asking about source of good breed goat for farming.,suggested to contact with byrnihut goat research station for good breed goat.
control of flower dropping in mango,advised him to spray planofix @ 1 ml/ 10 lit of water
asking about the specing of brinjal,suggested him to row-row-80 cm  and plant-plant- 75 cm
asking about the cultivation practices of lemmon,adviced him in details cultivation practices
